n	expression
96	(((((0x1*0x23)*0x4)+0x56)+0x7)-0x89)
97	(0x1234-(((0x5*0x67)-0x8)*0x9))
98	((((0x123+0x4)-0x56)-0x78)+0x9)
99	((((0x12+0x34)-0x5)-0x67)+0x89)
100	(((0x1+0x234)-(0x56*0x7))+0x89)
101	(((((0x1*0x23)*0x4)-0x5)+0x67)-0x89)
102	((((0x123-0x45)-0x67)-0x8)-0x9)
103	(((((0x1+0x2)-0x3)+0x45)-0x67)+0x89)
104	(((((0x1*0x23)-0x45)-0x6)+0x7)+0x89)
105	((((0x123-0x45)-0x6)-0x78)+0x9)
106	(((((0x12-0x34)+0x5)+0x6)+0x78)+0x9)
107	(((((0x12-0x34)+0x5)+0x6)-0x7)+0x89)
108	(0x12+(0x3*(0x456-(0x78*0x9))))
109	((((0x12+0x34)+0x5)-0x67)+0x89)
110	((((0x12+0x34)*0x5)-0x67)-0x89)
111	(((((0x1*0x23)*0x4)+0x5)+0x67)-0x89)
112	((0x123-(0x4*(0x56-0x7)))+0x89)
113	((((0x12+0x34)-0x56)+0x78)+0x9)
114	((((0x12+0x34)-0x56)-0x7)+0x89)
115	(0x123+(0x4*((0x56+0x7)-0x89)))
116	(((((0x1*0x23)-0x45)+0x6)+0x7)+0x89)
117	((((0x123-0x45)+0x6)-0x78)+0x9)
118	((((0x12-0x3)+0x45)-0x67)+0x89)
119	(((0x123*0x4)-0x56)-(0x7*0x89))
120	(((0x123+0x45)-0x67)-0x89)
121	(((((0x1*0x23)-0x4)*0x5)+0x67)-0x89)
122	(((((0x1+0x2)-0x34)+0x56)*0x7)-0x89)
123	(0x12+(0x3*((0x45+0x67)-0x89)))
124	((((0x12+0x3)+0x45)-0x67)+0x89)
125	((0x123+0x4)+(0x5*(0x67-0x89)))
126	(((0x12+0x345)-(0x6*0x78))-0x9)
127	(((0x123-0x45)+(0x6*0x7))-0x89)
128	((((0x12+0x34)-0x56)+0x7)+0x89)
129	(((((0x1*0x2)*0x34)-0x56)+0x78)-0x9)
130	(((((0x1+0x2)-0x3)*0x456)-0x7)+0x89)
131	(((((0x1+0x2)*0x34)+0x56)-0x78)+0x9)
132	(((((0x12+0x34)+0x56)-0x7)-0x8)-0x9)
133	(((((0x1*0x2)*0x34)-0x5)-0x67)+0x89)
134	(((0x12-0x345)-0x6)+(0x7*0x89))
135	(0x12+((0x345-(0x67*0x8))*0x9))
136	((((0x123-0x45)-0x67)+0x8)+0x9)
137	((((0x1*0x23)+0x45)-0x67)*0x89)
138	((((0x1*0x23)+0x45)-0x67)+0x89)
139	((((0x1+0x23)+0x45)-0x67)+0x89)
140	((0x123-0x456)+(0x7*0x89))
141	(((((0x1*0x2)+0x3)*0x45)*0x6)-0x789)
142	(((((0x12+0x3)*0x4)-0x56)+0x7)+0x89)
143	(((((0x1*0x2)*0x34)+0x5)-0x67)+0x89)
144	(((0x12+0x345)-(0x6*0x78))+0x9)
145	(((((0x1-0x2)*0x34)+0x56)+0x78)-0x9)
146	(((0x12-0x345)+0x6)+(0x7*0x89))
147	(((((0x1*0x2)*0x34)-0x56)+0x78)+0x9)
148	(((((0x1*0x2)*0x34)-0x56)-0x7)+0x89)
149	((((0x1+(0x2*0x34))-0x56)-0x7)+0x89)
150	(((((0x1-0x23)+0x45)+0x6)*0x7)-0x89)
151	(((((0x12*0x3)+0x45)-0x67)*0x8)-0x9)
152	(((((0x1-0x23)+0x45)+0x6)+0x78)-0x9)
153	(((((0x1-0x2)+0x34)+0x56)-0x78)*0x9)
154	(((((0x123+0x4)-0x5)-0x6)+0x7)-0x89)
155	(((((0x1-0x23)+0x45)+0x67)+0x8)+0x9)
156	(((((0x123-0x4)+0x5)-0x6)+0x7)-0x89)
157	((((0x12*0x3)+0x45)-0x67)+0x89)
158	(((((0x1-0x23)+0x45)-0x6)+0x78)+0x9)
159	(((((0x1-0x23)+0x45)-0x6)-0x7)+0x89)
160	((((0x1+0x2)*0x3)+0x456)-(0x7*0x89))
161	(((((0x1*0x23)+0x4)*0x5)+0x67)-0x89)
162	((0x12*0x345)-(0x678*0x9))
163	((((0x12-0x34)+0x56)+0x78)-0x9)
164	((0x123+(0x4*(0x56-0x78)))+0x9)
165	(((((0x1*0x2)-0x34)+0x56)+0x78)+0x9)
166	(((0x12-0x3)+0x456)-(0x7*0x89))
167	(((((0x1+0x2)-0x34)+0x56)-0x7)+0x89)
168	(((((0x1-0x2)*0x3)-0x45)+0x67)+0x89)
169	(((((0x1*0x23)*0x4)-0x5)-0x67)+0x89)
170	(((0x123*0x4)+0x56)-(0x78*0x9))
171	((((0x12+0x34)*0x5)*0x6)-0x789)
172	(((0x12+0x3)+0x456)-(0x7*0x89))
173	(((((0x1+0x23)*0x4)-0x5)-0x67)+0x89)
174	(((((0x1*0x2)*0x3)*0x45)-0x67)-0x89)
175	(0x123+(0x4*((0x5+0x67)-0x89)))
176	(((0x1-0x234)+(0x56*0x7))+0x89)
177	(((((0x1*0x2)*0x3)-0x45)+0x67)+0x89)
178	(((((0x1-0x2)*0x34)+0x56)+0x7)+0x89)
179	(((((0x1*0x23)*0x4)+0x5)-0x67)+0x89)
180	((0x12-0x345)+((0x67+0x8)*0x9))
181	((((0x12-0x34)+0x56)+0x78)+0x9)
182	((((0x12-0x34)+0x56)-0x7)+0x89)
183	(((0x123*(0x4-0x5))*0x6)+0x789)
184	(((((0x1*0x23)*0x4)-0x56)-0x7)+0x89)
185	(((0x123+0x45)-0x67)-(0x8*0x9))
186	((((0x12-0x3)-0x45)+0x67)+0x89)
187	(((0x1+0x23)+0x456)-(0x7*0x89))
188	(((0x123-0x45)+0x67)-0x89)
189	((0x12+0x345)-(0x6*(0x78-0x9)))
190	(((((0x1*0x23)+0x45)+0x67)-0x8)-0x9)
191	(((0x12+(0x3*0x45))+0x67)-0x89)
192	((((0x12+0x3)-0x45)+0x67)+0x89)
193	(((((0x1-0x2)*0x34)+0x5)+0x67)+0x89)
194	(((((0x1+0x23)-0x4)*0x5)-0x67)+0x89)
195	(((((0x1*0x2)-0x34)+0x5)+0x67)+0x89)
196	((((0x12-0x34)+0x56)+0x7)+0x89)
197	(((0x12*0x34)-(0x56*0x7))-0x89)
198	(((((0x1*0x23)*0x4)-0x56)+0x7)+0x89)
199	(((((0x1+0x2)*0x34)-0x56)+0x78)+0x9)
200	(((((0x1+0x2)*0x34)-0x56)-0x7)+0x89)
201	((((0x12-0x34)-0x5)+0x67)+0x89)
202	(((((0x1+0x23)*0x4)-0x56)+0x7)+0x89)
203	(((((0x12+0x34)-0x5)-0x6)+0x7)+0x89)
204	(((((0x12-0x3)+0x45)+0x67)+0x8)+0x9)
205	(((0x12*0x3)+0x456)-(0x7*0x89))
206	((((0x1*0x23)-0x45)+0x67)+0x89)
207	((((0x1+0x23)-0x45)+0x67)+0x89)
208	(((((0x1*0x23)+0x45)+0x67)-0x8)+0x9)
209	(((((0x1*0x23)+0x45)-0x6)+0x78)-0x9)
210	((((0x123+0x45)-0x6)-0x7)-0x89)
211	((((0x12-0x34)+0x5)+0x67)+0x89)
212	(((((0x12+0x34)*0x5)+0x6)-0x7)-0x89)
213	(((((0x12+0x3)+0x45)-0x6)+0x78)+0x9)
214	(((((0x1+0x2)*0x34)-0x56)+0x7)+0x89)
215	(((((0x1-0x23)+0x4)+0x5)+0x67)+0x89)
216	(((((0x12*0x3)+0x4)+0x56)-0x78)*0x9)
217	(((((0x123+0x4)-0x56)+0x7)-0x8)+0x9)
218	(((((0x123-0x45)+0x6)+0x7)-0x8)-0x9)
219	(((0x123*0x4)-0x567)*(0x8-0x9))
220	(((((0x12-0x3)+0x45)+0x6)-0x7)+0x89)
221	((((0x12+0x3)+0x4)*0x56)-0x789)
222	((((0x123+0x45)+0x6)-0x7)-0x89)
223	((0x123+0x45)+((0x6-0x7)*0x89))
224	((((0x123+0x45)-0x6)+0x7)-0x89)
225	((((0x12*0x3)-0x45)+0x67)+0x89)
226	(((((0x12+0x3)+0x45)+0x6)-0x7)+0x89)
227	((((0x12-0x34)+0x56)*0x7)-0x89)
228	(((((0x1*0x23)+0x45)-0x6)-0x7)+0x89)
229	((((0x123-0x4)+0x56)-0x7)-0x89)
230	(((((0x12+0x34)*0x5)-0x67)-0x8)-0x9)
231	(((0x123+0x45)*0x6)-0x789)
232	(((((0x12+0x3)-0x4)+0x56)+0x78)+0x9)
233	(((((0x12+0x3)-0x4)+0x56)-0x7)+0x89)
234	(0x12*(((0x34-0x5)+0x67)-0x89))
235	(((((0x12-0x3)+0x4)+0x56)-0x7)+0x89)
236	((((0x123+0x45)+0x6)+0x7)-0x89)
237	((((0x123+0x4)+0x56)-0x7)-0x89)
238	(((((0x123-0x45)+0x6)-0x7)+0x8)+0x9)
239	(((((0x1*0x23)+0x45)+0x6)+0x78)+0x9)
240	((((0x123+0x45)-0x67)-0x8)-0x9)
241	(((((0x1*0x23)*0x4)-0x56)*0x7)-0x89)
242	(((((0x1*0x23)+0x45)-0x6)+0x7)+0x89)
243	((((0x123+0x45)-0x6)-0x78)+0x9)
244	((((0x123-0x4)+0x56)-0x78)-0x9)
245	(((((0x12*0x3)*0x4)-0x5)-0x67)+0x89)
246	(((((0x1*0x23)-0x4)+0x56)+0x78)+0x9)
247	(((((0x1*0x23)-0x4)+0x56)-0x7)+0x89)
248	((((0x123-0x4)-0x5)+0x67)-0x89)
249	(((((0x12-0x3)+0x4)+0x56)+0x7)+0x89)
250	(((0x1-(0x2*0x345))-0x6)+0x789)
251	((((0x123+0x4)+0x56)+0x7)-0x89)
252	((((0x123+0x4)+0x56)-0x78)-0x9)
253	(((0x123-0x45)+0x67)-(0x8*0x9))
254	(((((0x1*0x23)+0x4)+0x56)+0x78)+0x9)
255	((((0x123+0x45)+0x6)-0x78)+0x9)
256	(((0x123-0x45)-0x67)+0x89)
257	((0x12-(0x3*(0x45-0x67)))+0x89)
258	((((0x123+0x45)-0x67)-0x8)+0x9)
259	(((0x12+(0x3*0x45))-0x67)+0x89)
260	(((((0x12*0x3)*0x4)-0x56)-0x7)+0x89)
261	((0x123-0x456)+(0x78*0x9))
262	((((0x123-0x4)+0x56)-0x78)+0x9)
263	(((((0x1*0x2)*0x34)-0x56)*0x7)+0x89)
264	(((((0x12+0x34)*0x5)-0x67)+0x8)+0x9)
265	(((0x123+0x45)+(0x6*0x7))-0x89)
266	((((0x123+0x4)+0x5)+0x67)-0x89)
267	((((0x12+0x34)+0x56)+0x78)-0x9)
268	((0x1-(0x2*(0x345-0x6)))+0x789)
269	(((((0x1*0x2)+0x34)+0x56)+0x78)+0x9)
270	((((0x123+0x4)+0x56)-0x78)+0x9)
271	(((((0x1+0x2)+0x34)+0x56)-0x7)+0x89)
272	((0x12-0x34)-((0x56-0x78)*0x9))
273	(((((0x1-0x2)-0x3)*0x45)*0x6)+0x789)
274	((((0x1+0x23)+0x45)-0x67)*0x89)
275	((((0x1-0x23)+0x45)+0x67)+0x89)
276	(((0x1*0x23)*(0x45-0x6))-0x789)
277	(((0x123+(0x4*0x5))+0x67)-0x89)
278	(((0x12-0x3)-((0x45-0x67)*0x8))-0x9)
279	(((0x12+0x345)-(0x67*0x8))*0x9)
280	(((((0x1*0x2)*0x34)*0x5)-0x67)-0x89)
281	(((((0x1-0x2)+0x34)+0x56)+0x7)+0x89)
282	(((0x1+(0x23*(0x4+0x5)))+0x67)-0x89)
283	((((0x1*0x23)+0x45)+(0x6*0x7))+0x89)
284	(((0x12*0x34)-(0x5*0x67))-0x89)
285	((((0x12+0x34)+0x56)+0x78)+0x9)
286	((((0x12+0x34)+0x56)-0x7)+0x89)
287	((((0x12*0x3)+(0x4*0x56))-0x78)+0x9)
288	(((((0x12*0x3)+0x4)+0x56)+0x7)+0x89)
289	(((((0x1*0x2)+0x34)-0x5)+0x67)+0x89)
290	(((((0x1+0x2)+0x34)-0x5)+0x67)+0x89)
291	((((0x1-0x2)+0x3)*0x456)-0x789)
292	((((0x12-0x34)+0x56)*0x7)-(0x8*0x9))
293	(((((0x12*0x3)+0x4)-0x5)+0x67)+0x89)
294	((((0x123-0x4)+0x56)-0x7)-(0x8*0x9))
295	(((((0x12*0x3)-0x4)+0x5)+0x67)+0x89)
296	(((((0x1-0x2)+0x34)+0x5)+0x67)+0x89)
297	(((0x1*0x2)*(0x3+0x456))-0x789)
298	((0x1+(0x2*(0x3+0x456)))-0x789)
299	(((((0x1*0x2)+0x34)+0x5)+0x67)+0x89)
300	((((0x12+0x34)+0x56)+0x7)+0x89)
301	(((((0x1*0x2)*0x34)+0x56)+0x78)-0x9)
302	((((0x1+(0x2*0x34))+0x56)+0x78)-0x9)
303	(((((0x12*0x3)+0x4)+0x5)+0x67)+0x89)
304	(((((0x1*0x2)+0x34)*0x5)-0x67)+0x89)
305	((((0x12+0x34)-0x5)+0x67)+0x89)
306	(((((0x1-0x2)*0x3)+0x45)+0x67)+0x89)
307	((((0x12-0x34)*0x5)*(0x6-0x7))+0x89)
308	((((0x123-0x45)+0x67)-0x8)-0x9)
309	(((((0x1+0x2)+0x34)*0x5)-0x67)+0x89)
310	(((0x1-0x234)-0x56)+(0x7*0x89))
311	(((((0x1*0x2)+0x3)*0x45)+0x67)-0x89)
312	((((0x123-0x4)-0x56)+0x78)-0x9)
313	((((0x123-0x4)-0x5)+0x67)-(0x8*0x9))
314	(((((0x1*0x2)+0x3)+0x45)+0x67)+0x89)
315	((((0x12+0x34)+0x5)+0x67)+0x89)
316	((((0x12+0x34)*0x5)+0x67)-0x89)
317	(((0x123-0x45)-(0x6*0x7))+0x89)
318	(((((0x1+0x2)*0x3)+0x45)+0x67)+0x89)
319	((((0x1*0x234)-0x5)-0x67)-0x89)
320	((((0x1+0x234)-0x5)-0x67)-0x89)
321	((0x123+0x456)-(0x78*0x9))
322	((0x12+(((0x34+0x5)+0x6)*0x7))-0x89)
323	((((0x12*(0x3+0x4))+0x56)+0x78)-0x9)
324	((((0x12+0x34)+0x56)-0x78)*0x9)
325	((0x123+((0x4-0x5)*0x67))+0x89)
326	(((0x123+0x45)+0x67)-0x89)
327	((((0x123-0x45)-0x6)+0x78)-0x9)
328	((((0x1*0x2)-0x34)+(0x5*0x67))-0x89)
329	((((0x1*0x234)+0x5)-0x67)-0x89)
330	((((0x1+0x234)+0x5)-0x67)-0x89)
331	((((0x123-0x4)-0x56)-0x7)+0x89)
332	((0x1-0x234)+(0x5*((0x6*0x7)+0x89)))
333	((0x12*((0x34+0x56)-0x78))+0x9)
334	((((0x1*0x234)-0x56)-0x7)-0x89)
335	((((0x1+0x234)-0x56)-0x7)-0x89)
336	((((0x123*0x4)+0x5)-(0x67*0x8))-0x9)
337	(((((0x1*0x23)*0x4)+0x56)+0x78)-0x9)
338	((((0x123+0x4)-0x56)+0x78)+0x9)
339	((((0x123+0x4)-0x56)-0x7)+0x89)
340	(0x1234-((0x5*0x6)*(0x7+0x89)))
341	(((((0x1+0x23)*0x4)+0x56)+0x78)-0x9)
342	((((0x123-0x45)+0x67)+0x8)+0x9)
343	(((0x1*0x234)-0x56)-((0x7+0x8)*0x9))
344	((((0x1*0x23)+0x45)+0x67)+0x89)
345	((((0x1+0x23)+0x45)+0x67)+0x89)
346	((((0x123-0x45)-0x6)-0x7)+0x89)
347	((0x12*(0x34-0x56))+(0x7*0x89))
348	((((0x1*0x234)-0x56)+0x7)-0x89)
349	((((0x1*0x234)-0x56)-0x78)-0x9)
350	((((0x1+0x234)-0x56)-0x78)-0x9)
351	(((((0x12-0x34)+0x56)-0x7)*0x8)-0x9)
352	((((((0x1+0x23)-0x4)+0x5)*0x6)-0x7)+0x89)
353	((((0x123+0x4)-0x56)+0x7)+0x89)
354	(((((0x1-0x23)+0x45)*0x6)+0x7)+0x89)
355	(((((0x1*0x23)*0x4)+0x56)+0x78)+0x9)
356	(((((0x1*0x23)*0x4)+0x56)-0x7)+0x89)
357	((((0x123-0x45)+0x6)+0x78)+0x9)
358	((((0x123-0x45)+0x6)-0x7)+0x89)
359	((0x123+(0x45*(0x6-0x7)))+0x89)
360	((((0x123-0x45)-0x6)+0x7)+0x89)
361	((((0x12*(0x3+0x4))-0x5)+0x67)+0x89)
362	(((((0x123+0x45)-0x6)+0x7)-0x8)+0x9)
363	((((0x12*0x3)+0x45)+0x67)+0x89)
364	(((((0x123+0x45)-0x6)-0x7)+0x8)+0x9)
365	(((((0x12+0x3)+0x4)*0x5)+0x67)+0x89)
366	(((0x1-0x234)-(0x5*0x6))+(0x7*0x89))
367	((((0x1*0x234)-0x56)-0x78)+0x9)
368	((((0x1+0x234)-0x56)-0x78)+0x9)
369	(((((0x1-0x2)*0x34)*0x5)*0x6)+0x789)
370	(((((0x1*0x23)*0x4)+0x56)+0x7)+0x89)
371	(((((0x1+0x2)*0x34)+0x56)+0x78)+0x9)
372	((((0x123-0x45)+0x6)+0x7)+0x89)
373	(((0x123-0x45)*0x6)-(0x7*0x89))
374	(((((0x1+0x23)*0x4)+0x56)+0x7)+0x89)
375	(((((0x1*0x23)*0x4)-0x5)+0x67)+0x89)
376	((0x12+0x34)-((0x56-0x78)*0x9))
377	((((0x123-0x4)-0x5)-(0x6*0x7))+0x89)
378	(((((0x1-0x2)+0x3)*0x45)+0x67)+0x89)
379	(((((0x1*0x2)+0x3)*0x45)-0x67)+0x89)
380	(((((0x1*0x2)*0x3)*0x45)+0x67)-0x89)
381	(((0x12*(0x3-0x4))*0x56)+0x789)
382	((((0x12+(0x34*0x5))+0x67)-0x8)+0x9)
383	(((((0x12-0x3)-0x45)+0x67)*0x8)-0x9)
384	((((0x12+0x34)*0x5)-0x67)+0x89)
385	(0x1234-((0x5*(0x67-0x8))*0x9))
386	(((((0x1+0x2)*0x34)+0x56)+0x7)+0x89)
387	((0x12-((0x34*0x5)*0x6))+0x789)
388	((((0x123-(0x4*0x5))+0x6)+0x78)-0x9)
389	(((((0x1*0x2)-0x34)+0x56)*0x7)+0x89)
390	(((((0x123+0x45)+0x6)+0x7)+0x8)+0x9)
391	(((0x123+0x45)+0x67)-(0x8*0x9))
392	(((((0x123+0x4)-0x5)+0x67)+0x8)-0x9)
393	((0x12-((0x34-0x56)*0x7))+0x89)
394	(((0x123+0x45)-0x67)+0x89)
395	((0x1+0x234)+(0x5*(0x67-0x89)))
396	(0x12*((0x345-(0x67*0x8))+0x9))
397	(((0x123-0x45)+0x67)+(0x8*0x9))
398	((((0x12+(0x34*0x5))+0x67)+0x8)+0x9)
399	(((((0x123-0x4)-0x5)+0x6)+0x78)-0x9)
400	(((((0x1+0x23)-0x4)*0x5)+0x67)+0x89)
401	(((0x123-0x45)+(0x6*0x7))+0x89)
402	(((((0x123+0x4)+0x5)+0x67)+0x8)-0x9)
403	((((0x12+0x3)+0x4)+(0x5*0x67))-0x89)
404	(((((0x123+0x4)+0x5)+0x67)-0x8)+0x9)
405	(((((0x12-0x3)-0x4)-0x56)+0x78)*0x9)
406	(((((0x123-0x4)-0x5)-0x6)-0x7)+0x89)
407	(0x123-(0x4*((0x5+0x67)-0x89)))
408	(((0x12+(0x3*0x4))+(0x5*0x67))-0x89)
409	(((((0x1*0x234)-0x5)-0x6)-0x7)-0x89)
410	(((((0x1+0x234)-0x5)-0x6)-0x7)-0x89)
411	(((((0x12+0x3)+0x45)*0x6)-0x78)-0x9)
412	(((((0x123-0x4)+0x5)+0x67)+0x8)+0x9)
413	(((((0x12*0x3)*0x4)+0x56)+0x78)-0x9)
414	(0x12*(((0x34+0x5)+0x67)-0x89))
415	(((((0x123-0x4)+0x5)-0x6)+0x78)+0x9)
416	(((((0x123-0x4)+0x5)-0x6)-0x7)+0x89)
417	(((((0x123+0x4)+0x5)+0x6)+0x78)-0x9)
418	((0x123-(0x4*(0x56-0x78)))-0x9)
419	(((((0x1*0x234)+0x5)-0x6)-0x7)-0x89)
420	(((((0x1+0x234)+0x5)-0x6)-0x7)-0x89)
421	(((((0x1*0x234)-0x5)+0x6)-0x7)-0x89)
422	(((((0x1+0x234)-0x5)+0x6)-0x7)-0x89)
423	(((((0x1*0x234)-0x5)-0x6)+0x7)-0x89)
424	(((((0x1*0x234)-0x5)-0x6)-0x78)-0x9)
425	(((0x123*0x4)-(0x56*0x7))-0x89)
426	(((((0x123+0x4)-0x5)+0x6)-0x7)+0x89)
427	(((((0x123-0x4)+0x5)+0x6)+0x78)+0x9)
428	(((((0x123+0x4)-0x5)-0x6)+0x7)+0x89)
429	(((((0x1*0x2)-0x34)*0x5)*0x6)+0x789)
430	(((((0x12+0x34)+0x5)+0x6)*0x7)-0x89)
431	(((0x1-0x234)-0x56)+(0x78*0x9))
432	(((((0x1+0x234)+0x5)+0x6)-0x7)-0x89)
433	(((((0x1*0x234)+0x5)-0x6)+0x7)-0x89)
434	(((((0x1*0x234)+0x5)-0x6)-0x78)-0x9)
435	(((((0x1*0x23)+0x4)*0x5)+0x67)+0x89)
436	((0x123-(0x4*(0x56-0x78)))+0x9)
437	(((((0x1+0x234)-0x5)+0x6)-0x78)-0x9)
438	(((((0x123+0x4)+0x5)-0x6)+0x7)+0x89)
439	(((((0x1*0x234)-0x5)-0x67)-0x8)-0x9)
440	(((((0x1+0x23)+0x4)*0x5)+0x67)+0x89)
441	(((0x1-0x234)+0x5)+((0x67+0x8)*0x9))
442	((0x123+0x456)-(0x7*0x89))
443	(((((0x1+0x234)-0x5)-0x6)-0x78)+0x9)
444	(((0x12+((0x34-0x5)*0x6))+0x7)+0x89)
445	(((((0x1*0x234)+0x5)+0x6)+0x7)-0x89)
446	((((0x123+0x45)+0x67)-0x8)-0x9)
447	(((0x12*0x34)-0x567)*(0x8-0x9))
448	(((0x12+0x34)+(0x5*0x67))-0x89)
449	(((((0x1*0x234)+0x5)-0x67)-0x8)-0x9)
450	((0x12-0x3)*(0x456-(0x78*0x9)))
451	(((((0x12*0x3)*0x4)-0x5)+0x67)+0x89)
452	(((((0x1*0x234)+0x5)-0x6)-0x78)+0x9)
453	(((((0x1+0x234)+0x5)-0x6)-0x78)+0x9)
